date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,2857211195,3075,3023680000,0.116622,73657600,0,526.069775,ADA
2017-12-02,919464224.8,2269,3412870000,0.131633,56712600,0,381.75557,ADA
2017-12-03,755702161,1972,3431460000,0.132351,46458900,0,334.232577,ADA
2017-12-04,4337070443,2768,3410590000,0.131546,76392700,0,472.122462,ADA
2017-12-05,3911611137,3144,3516360000,0.135625,50381100,0,536.204627,ADA
2017-12-06,2506608852,3243,3286200000,0.126748,75688800,0,556.724766,ADA
2017-12-07,2273088470,3080,3053330000,0.117766,71024600,0,529.408236,ADA
2017-12-08,1683236055,2981,2751950000,0.106142,70092400,0,509.523792,ADA
2017-12-09,1120676230,2307,2974990000,0.114745,63308600,0,397.817485,ADA
2017-12-10,626919827.6,1925,3105910000,0.119794,46376600,0,331.000772,ADA
2017-12-11,1570034525,2903,2824170000,0.108927,39513900,0,499.253429,ADA
2017-12-12,1928367015,3453,3141770000,0.121177,60056800,0,593.232415,ADA
2017-12-13,2197540173,3330,3467460000,0.133739,61575000,0,572.413354,ADA
2017-12-14,3414740056,5011,3465580000,0.133667,309307000,0,865.688482,ADA
2017-12-15,6277471269,5428,6046420000,0.233209,207311000,0,936.735232,ADA
2017-12-16,4246707571,7126,5519230000,0.212875,581052000,0,1226.080362,ADA
2017-12-17,13675413814,7332,10027900000,0.386775,628143000,0,1266.035793,ADA
2017-12-18,9845477474,7110,13273100000,0.511939,253463000,0,1215.359591,ADA
2017-12-19,15207973217,10754,13489000000,0.520268,279631000,0,1846.094336,ADA
2017-12-20,9280441501,8367,13837400000,0.533705,182924000,0,1428.018715,ADA
2017-12-21,8988864245,7759,12705500000,0.490049,162926000,0,1324.952454,ADA
2017-12-22,5681960311,6840,12418400000,0.478974,150973000,0,1167.895349,ADA
2017-12-23,3934633549,6153,10744700000,0.41442,88865000,0,1049.697771,ADA
2017-12-24,2977420201,4770,10802800000,0.416661,67372300,0,812.142518,ADA
2017-12-25,2304227314,4218,10172000000,0.39233,122194000,0,719.860952,ADA
2017-12-26,2639990338,4295,10722700000,0.413573,94896000,0,732.098409,ADA
2017-12-27,2730782838,4916,11073600000,0.427107,82067500,0,840.267464,ADA
2017-12-28,2513310743,4882,10682500000,0.41202,82263800,0,832.866012,ADA
2017-12-29,3268899001,5706,10642000000,0.410457,266403000,0,975.33992,ADA
2017-12-30,2930330854,5253,13697700000,0.528316,645156000,0,902.028763,ADA
2017-12-31,5514803464,3166,16660300000,0.642581,305947000,0,541.155233,ADA
2018-01-01,3381306311,2957,18637600000,0.718847,150186000,0,505.895755,ADA
2018-01-02,2102776259,3270,18788700000,0.724676,289712000,0,559.289502,ADA
2018-01-03,1802784249,3345,20214800000,0.779681,657398000,0,572.844965,ADA
2018-01-04,6669245903,3366,28364900000,1.09,593430000,0,575.218109,ADA
2018-01-05,7979340484,2499,30364400000,1.17,508100000,0,429.038026,ADA
2018-01-06,6957160121,3015,25849300000,0.997,297615000,0,516.193856,ADA
2018-01-07,9212376978,4210,26553200000,1.02,226067000,0,718.077671,ADA
2018-01-08,2944338563,2747,25909700000,0.999329,264461000,0,468.601695,ADA
2018-01-09,8112034890,6445,23287300000,0.898185,209492000,0,1105.937569,ADA
2018-01-10,6488053608,4444,21153200000,0.815872,236472000,0,762.284692,ADA
2018-01-11,3801164709,3544,20521800000,0.791522,229001000,0,607.786058,ADA
2018-01-12,3368343118,3769,18039200000,0.695769,365795000,0,646.064994,ADA
2018-01-13,5437433115,6444,23785800000,0.91741,313215000,0,1104.420143,ADA
2018-01-14,4310328242,5608,22866700000,0.881961,160712000,0,960.472907,ADA
2018-01-15,4340492437,5315,20631800000,0.795761,972993000,0,911.286102,ADA
2018-01-16,4844124533,5613,20239200000,0.780621,1632650000,0,962.698826,ADA
2018-01-17,2506285924,4487,16181700000,0.624123,1713770000,0,769.401425,ADA
2018-01-18,4505299018,5082,16367600000,0.631295,1285490000,0,871.2281,ADA
2018-01-19,2011384758,4041,16840800000,0.649544,584574000,0,689.866607,ADA
2018-01-20,2202778350,4805,17022800000,0.656564,738799000,0,823.086658,ADA
2018-01-21,1896443152,3529,18314600000,0.706391,847731000,0,605.182882,ADA
2018-01-22,4492163801,3663,15944700000,0.614983,522984000,0,626.861928,ADA
2018-01-23,2490284378,2913,14688600000,0.566537,375958000,0,505.942525,ADA
2018-01-24,1844063798,2841,14606500000,0.563369,689838000,0,493.5483,ADA
2018-01-25,3054464694,2486,16316900000,0.629337,654814000,0,431.411187,ADA
2018-01-26,1701803084,2489,16435300000,0.633903,810062000,0,434.499444,ADA
2018-01-27,1340985910,2643,16164900000,0.623477,331309000,0,460.902618,ADA
2018-01-28,1839378464,2841,16089300000,0.62056,325146000,0,493.787165,ADA
2018-01-29,2288714721,2845,17354900000,0.669373,238318000,0,493.978388,ADA
2018-01-30,1647707243,2655,16199200000,0.624799,359622000,0,461.201947,ADA
2018-01-31,1419169133,2597,13679100000,0.527598,505904000,0,451.201418,ADA
2018-02-01,1398187923,2649,13376100000,0.515912,595624000,0,461.263202,ADA
2018-02-02,1671994527,3833,10875400000,0.41946,1438810000,0,668.419952,ADA
2018-02-03,851286257.9,2863,10395800000,0.400965,1404500000,0,498.362836,ADA
2018-02-04,3034118489,1931,11248900000,0.433865,814754000,0,337.506763,ADA
2018-02-05,1222448971,2196,9983060000,0.385044,658548000,0,384.825949,ADA
2018-02-06,35679500865,3261,8587280000,0.331209,1338390000,0,1074.824042,ADA
2018-02-07,39216577043,2570,9522150000,0.367267,679744000,0,451.946121,ADA
2018-02-08,1115780825,1064,8930940000,0.344464,346383000,0,183.243693,ADA
2018-02-09,23911113751,2089,9148310000,0.352848,401271000,0,366.265692,ADA
2018-02-10,58147698258,2825,10025200000,0.386671,951824000,0,500.431586,ADA
2018-02-11,38016580749,2204,10503200000,0.405104,331944000,0,388.565029,ADA
2018-02-12,31997879558,2958,9660290000,0.372595,243039000,0,519.106738,ADA
2018-02-13,28343738946,2461,9941370000,0.383436,225695000,0,432.801133,ADA
2018-02-14,24289004368,2289,9690670000,0.373766,299009000,0,403.669105,ADA
2018-02-15,26064092407,2276,10232700000,0.394671,348342000,0,399.649227,ADA
2018-02-16,24522385062,2405,10633800000,0.410142,192420000,0,421.525819,ADA
2018-02-17,24924352392,2939,10433100000,0.402403,341415000,0,517.500992,ADA
2018-02-18,27890031702,2193,10846700000,0.418355,251314000,0,385.62001,ADA
2018-02-19,28841449092,1975,10032000000,0.38693,169966000,0,348.599566,ADA
2018-02-20,27881199700,2174,10136000000,0.390942,281250000,0,381.622781,ADA
2018-02-21,23193420984,2079,9738030000,0.375593,242378000,0,365.519263,ADA
2018-02-22,19942982986,1686,9402480000,0.362651,208342000,0,295.943827,ADA
2018-02-23,14762612663,1924,8679300000,0.334758,222509000,0,337.654695,ADA
2018-02-24,13342030386,1606,8910300000,0.343668,133524000,0,280.832261,ADA
2018-02-25,11854602228,2605,8352460000,0.322152,247808000,0,457.527573,ADA
2018-02-26,10248445703,2699,8951880000,0.345272,201813000,0,475.238518,ADA
2018-02-27,15390949496,2295,8792710000,0.339132,106757000,0,404.80439,ADA
2018-02-28,45496098161,3614,8672230000,0.334486,114757000,0,634.44936,ADA
