date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,1116284840,19169,23257100000,1381.81,965151000,1850,2.18879575,BCH
2017-12-02,1040892367,17581,24610500000,1462.06,574510000,1712.5,1.95560365,BCH
2017-12-03,1544018413,21761,24163600000,1435.36,1476740000,1787.5,2.25182489,BCH
2017-12-04,1602788806,21854,26267300000,1560.16,780634000,1775,2.2378911,BCH
2017-12-05,1867736673,20813,26606900000,1580.16,1032800000,1850,2.15972999,BCH
2017-12-06,2312020595,26703,25234400000,1498.49,1154620000,1950,3.11935041,BCH
2017-12-07,1664284833,24274,24095900000,1430.71,1285210000,950,2.98545942,BCH
2017-12-08,12446260991,27341,22386700000,1329.16,2553980000,2162.5,3.22386862,BCH
2017-12-09,2383547521,18108,24671600000,1464.63,1059610000,1850,2.63721723,BCH
2017-12-10,1674209813,16352,23784900000,1411.84,885886000,1625,1.79230544,BCH
2017-12-11,1025706854,22787,22239900000,1320,922792000,1825,2.41267119,BCH
2017-12-12,1620636490,25125,24051800000,1427.38,1386250000,1800,2.84742062,BCH
2017-12-13,2536909430,23160,27249600000,1616.99,1245190000,1975,2.40974637,BCH
2017-12-14,3785265694,35177,26977700000,1600.67,2717410000,1887.5,3.5602122,BCH
2017-12-15,2822854267,28591,33284800000,1974.66,1457230000,1699.995775,3.49314199,BCH
2017-12-16,1829889280,25037,30762600000,1824.85,971255000,1550,3.32447723,BCH
2017-12-17,1024788871,28796,30554500000,1812.33,1020590000,1862.5,3.87252355,BCH
2017-12-18,2915033741,32452,31516900000,1869.21,2538650000,2187.5,4.21425997,BCH
2017-12-19,9494167288,57288,37083300000,2199.06,3913340000,1887.5,6.67871052,BCH
2017-12-20,13936577840,127904,47644600000,2825.03,11889600000,2037.5,32.78148611,BCH
2017-12-21,6913188586,77136,65933700000,3909,3664330000,1637.5,7.75477235,BCH
2017-12-22,5742147571,54048,56071800000,3324,3877770000,1575,6.53308475,BCH
2017-12-23,4013180459,47006,46342000000,2746.95,2843310000,1987.5,4.34047209,BCH
2017-12-24,2427966439,34686,55013200000,3260.55,1712160000,1987.5,2.75322425,BCH
2017-12-25,2030654559,28791,49430800000,2929.35,1355440000,1562.5,3.09369754,BCH
2017-12-26,2027095981,31570,49745700000,2947.74,1544430000,1787.5,2.64458879,BCH
2017-12-27,2722005793,47033,52461200000,3108.32,1406450000,1775,5.07017577,BCH
2017-12-28,2890146499,33174,48758700000,2888.64,3221300000,1837.5,3.19988789,BCH
2017-12-29,2880421348,43170,43677000000,2587.3,2479420000,1687.5,5.07105197,BCH
2017-12-30,1931814673,35630,47129800000,2791.55,1257760000,1975,4.99510947,BCH
2017-12-31,1329870463,28315,40134900000,2376.96,1300820000,1775,4.01495387,BCH
2018-01-01,1642247318,24050,42804800000,2534.82,922813000,1637.5,3.27212982,BCH
2018-01-02,2406613387,42971,41114800000,2434.5,1831230000,1987.5,4.19690237,BCH
2018-01-03,7642276319,47394,45613300000,2700.55,4688840000,1650,4.16219664,BCH
2018-01-04,4370271103,51493,44069100000,2608.87,5377260000,1825,4.80237917,BCH
2018-01-05,5275469841,46082,40557600000,2400.74,2115710000,1675,4.23417229,BCH
2018-01-06,5256568703,40660,43653200000,2583.71,1669160000,1912.5,3.15300169,BCH
2018-01-07,3325338428,36338,47054000000,2784.68,1444780000,1837.5,8.79931547,BCH
2018-01-08,3948832712,37027,47091600000,2786.6,1428900000,1575,12.46138623,BCH
2018-01-09,5230540652,40223,40770900000,2412.36,1084750000,1900,6.60752892,BCH
2018-01-10,3278231085,42595,40398000000,2390.02,2578810000,1975,7.66417152,BCH
2018-01-11,3385134871,35538,48880800000,2891.55,1947950000,1912.5,5.99672875,BCH
2018-01-12,8200906888,34997,41859100000,2475.9,1110220000,1687.5,5.69679194,BCH
2018-01-13,3814912608,55684,44260300000,2617.66,1218570000,1887.5,6.06170251,BCH
2018-01-14,1800538628,110551,45439500000,2687.1,993310000,1887.5,11.45334225,BCH
2018-01-15,3435552553,105658,42983500000,2541.58,1412360000,1575,10.36320726,BCH
2018-01-16,3059440035,34235,40708800000,2406.86,1704030000,1775,6.12757129,BCH
2018-01-17,2084293229,39742,29899500000,1767.58,1457730000,1787.5,5.59885731,BCH
2018-01-18,1533142203,40297,29643600000,1752.27,1024060000,1900,5.18431713,BCH
2018-01-19,811973416,25075,29442200000,1740.17,743247000,1887.5,3.29693698,BCH
2018-01-20,765982717.7,24322,30191500000,1784.26,1116240000,1587.5,3.53660992,BCH
2018-01-21,502762684,21762,34415500000,2033.7,745179000,1800,2.68572294,BCH
2018-01-22,705655285.9,21865,30370200000,1794.46,681350000,1837.5,3.08441133,BCH
2018-01-23,792241039.2,23842,27473700000,1623.14,578984000,2037.5,6.0519984,BCH
2018-01-24,825188442.2,21773,27460200000,1622.15,488161000,1587.5,2.71300943,BCH
2018-01-25,727885157.1,24994,28121300000,1661.04,522194000,1912.5,2.98861816,BCH
2018-01-26,1162074995,22111,27720500000,1637.19,594667000,1787.5,2.85848969,BCH
2018-01-27,368765668.7,18722,27136100000,1602.5,441742000,1825,2.2693748,BCH
2018-01-28,1280608386,19414,27713300000,1636.41,580544000,1787.5,2.11383133,BCH
2018-01-29,721887994,20970,29561500000,1745.36,362213000,1837.5,2.89573483,BCH
2018-01-30,1479216680,27968,28079700000,1657.69,649823000,1937.5,3.0362149,BCH
2018-01-31,1876119061,36542,24915700000,1470.74,729209000,1475,3.55814592,BCH
2018-02-01,955938012,24194,25263200000,1491.12,678020000,2012.5,2.84223906,BCH
2018-02-02,1454195874,25327,21561700000,1272.5,896666000,1624.99995,3.41397169,BCH
2018-02-03,549448291.3,17699,20237400000,1194.23,453101000,1725,1.87721147,BCH
2018-02-04,478799454,16009,21577500000,1273.17,656034000,1887.5,2.00226516,BCH
2018-02-05,537576383.7,20821,19659800000,1159.89,568117000,1675,2.33756986,BCH
2018-02-06,327884443.6,21160,15103100000,890.97,777420000,1937.5,2.51286255,BCH
2018-02-07,304562339.1,21149,16462900000,971.08,866222000,1825,2.34672504,BCH
2018-02-08,437108989.5,22268,16133900000,951.57,2203710000,2050,3.41336554,BCH
2018-02-09,896930527.1,22390,21601200000,1273.87,1133760000,1575,2.8309052,BCH
2018-02-10,517422719.4,23849,22249700000,1311.99,734606000,1937.5,2.41950994,BCH
2018-02-11,333793052,16767,21295600000,1255.59,651555000,1762.5,1.70621204,BCH
2018-02-12,480487766.8,19744,20735400000,1222.43,466213000,1862.5,2.15766164,BCH
2018-02-13,289614061.6,20706,21803000000,1285.23,442663000,1700,2.14401108,BCH
2018-02-14,376177834.3,21342,20854300000,1229.18,629852000,1762.5,2.4699299,BCH
