date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,19570122510,412725,1.70E+11,10198.6,6783120000,2287.5,247.0519056,BTC
2017-12-02,18449211954,326193,1.83E+11,10978.3,5138500000,2012.5,190.2958534,BTC
2017-12-03,18202697113,352868,1.85E+11,11082.7,6608310000,2200,187.4511427,BTC
2017-12-04,24984064000,400505,1.89E+11,11315.4,6132410000,2262.5,226.1199096,BTC
2017-12-05,27862582838,405531,1.95E+11,11685.7,6895260000,2225,219.679754,BTC
2017-12-06,33519822353,443399,1.99E+11,11923.4,12656300000,2350,257.1699543,BTC
2017-12-07,41078503263,374765,2.39E+11,14266.1,17950700000,1900,364.605605,BTC
2017-12-08,34519751834,384936,2.98E+11,17802.9,21136000000,1950,641.4296648,BTC
2017-12-09,39313620236,403225,2.76E+11,16523.3,13911300000,2175,567.0884245,BTC
2017-12-10,25646823085,341256,2.54E+11,15168.4,13433300000,2050,458.1002969,BTC
2017-12-11,34997845471,368427,2.58E+11,15427.4,12153900000,2137.5,483.6386507,BTC
2017-12-12,45542037889,372821,2.83E+11,16919.8,14603800000,1950,537.9440791,BTC
2017-12-13,48353069371,424393,2.93E+11,17500,12976900000,2325,604.2979452,BTC
2017-12-14,37521936560,490459,2.74E+11,16384.6,13777400000,2312.5,644.6079443,BTC
2017-12-15,35932354892,405507,2.78E+11,16601.3,14310000000,2112.499999,592.7039343,BTC
2017-12-16,34015547808,364051,2.97E+11,17760.3,12740600000,2137.5,534.0113834,BTC
2017-12-17,37469204186,391725,3.26E+11,19475.8,13314600000,2312.5,535.4386753,BTC
2017-12-18,46053266584,394057,3.20E+11,19106.4,14839500000,2275,587.1254837,BTC
2017-12-19,27921654891,378482,3.20E+11,19118.3,16894500000,1750,662.5955054,BTC
2017-12-20,28925969429,370141,2.98E+11,17760.3,22149700000,1700,911.5917428,BTC
2017-12-21,21021432317,335350,2.79E+11,16642.4,16516600000,1650,1128.76167,BTC
2017-12-22,21320968720,380493,2.66E+11,15898,22198000000,1937.5,1495.946477,BTC
2017-12-23,17876947895,308072,2.34E+11,13948.7,13086000000,1737.5,1065.615595,BTC
