date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),symbol
2017-12-01,115259804.7,7440,1443760000,2.83,74402000,EOS
2017-12-02,96631079.56,10414,1661260000,3.24,163479000,EOS
2017-12-03,121630305.4,10757,2026220000,3.94,132280000,EOS
2017-12-04,76749919.4,8000,1865930000,3.61,163900000,EOS
2017-12-05,73071132.22,5259,2107440000,4.06,181418000,EOS
2017-12-06,86285016.95,6360,2219990000,4.27,200253000,EOS
2017-12-07,54594008.75,4102,2358120000,4.52,183666000,EOS
2017-12-08,110053929.9,5488,2093350000,3.99,149508000,EOS
2017-12-09,230335904.6,12290,2254300000,4.28,133142000,EOS
2017-12-10,89774236.69,6654,2152680000,4.07,98890000,EOS
2017-12-11,83239637.17,5697,2000150000,3.77,153155000,EOS
2017-12-12,130478565.9,8575,2331870000,4.38,266450000,EOS
2017-12-13,448148968,16169,2846320000,5.32,663821000,EOS
2017-12-14,347161237.9,14338,3887060000,7.24,613600000,EOS
2017-12-15,296139896.2,11300,4531340000,8.41,640458000,EOS
2017-12-16,206339478.5,12756,4405780000,8.14,540462000,EOS
2017-12-17,144765481.5,9959,4673800000,8.6,361464000,EOS
2017-12-18,197210269,8590,4478700000,8.22,577650000,EOS
2017-12-19,376307392.1,14304,5057770000,9.24,1688240000,EOS
2017-12-20,300326568.4,9811,6840160000,12.45,775977000,EOS
2017-12-21,258509432.6,10330,6591520000,11.96,349756000,EOS
2017-12-22,446085354.8,11333,5898340000,10.66,612398000,EOS
2017-12-23,177322899.3,8643,4437100000,7.97,233174000,EOS
2017-12-24,159340282.5,7540,4753620000,8.51,192175000,EOS
2017-12-25,156899932.7,6952,4597290000,8.2,337893000,EOS
2017-12-26,155212225.2,6299,5497600000,9.77,336595000,EOS
2017-12-27,147502162.9,6943,5551810000,9.83,530216000,EOS
2017-12-28,187289725.5,6632,5978450000,10.54,478886000,EOS
2017-12-29,154775551.7,6183,5459440000,9.6,448090000,EOS
2017-12-30,175082705,6840,5402020000,9.46,499400000,EOS
2017-12-31,151896240.6,5847,4876510000,8.51,312308000,EOS
2018-01-01,167600518.5,7612,5041600000,8.77,331073000,EOS
2018-01-02,503280302.2,7325,5144580000,8.91,552189000,EOS
2018-01-03,141569000.2,11213,5394840000,9.32,529459000,EOS
2018-01-04,167549536.5,8762,6076410000,10.45,1204970000,EOS
2018-01-05,143209128.5,7608,6549910000,11.23,618755000,EOS
2018-01-06,149721885,8467,6324240000,10.81,688819000,EOS
2018-01-07,174411589.5,8634,7495320000,12.77,781497000,EOS
2018-01-08,400720059.8,9148,7367780000,12.51,697175000,EOS
2018-01-09,179443781.5,8753,5711470000,9.67,546937000,EOS
2018-01-10,201918177.5,8138,5534140000,9.33,1211790000,EOS
2018-01-11,216545863.3,9800,6741700000,11.33,1161850000,EOS
2018-01-12,354566799.8,14529,6804430000,11.4,2449370000,EOS
