date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,9725050125,927331,42765000000,445.21,1247880000,18463.6875,416.0732981,ETH
2017-12-02,10661112935,909899,44853300000,466.85,943650000,18239.4375,344.5045965,ETH
2017-12-03,9973575892,1027441,44560500000,463.7,990557000,18175.40625,407.152401,ETH
2017-12-04,9819332370,1052242,44795700000,466.05,1005550000,17147.34375,804.106265,ETH
2017-12-05,4901911006,1032815,45212800000,470.29,1216720000,16916.8125,1183.244509,ETH
2017-12-06,6861199846,1121267,44483100000,462.6,1998260000,16587.84375,1540.650625,ETH
2017-12-07,5014539156,1015206,41007600000,426.37,2129570000,17535.375,2239.289048,ETH
2017-12-08,4186246333,1172793,41845800000,434.99,2336380000,17529.09375,2315.319813,ETH
2017-12-09,3229381033,1100424,44005600000,457.34,2003850000,17563.125,2126.409908,ETH
2017-12-10,3212387869,1151603,45501400000,472.79,1404180000,17463.5625,1918.268035,ETH
2017-12-11,3029420791,1282978,42389300000,440.36,1771440000,17367.75,1531.823684,ETH
2017-12-12,7379303372,1318300,50286400000,522.29,5179830000,17280.28125,1559.061195,ETH
2017-12-13,7121890999,1137119,62105600000,644.91,4524540000,18906.09375,1445.2853,ETH
2017-12-14,8546375984,942559,67482900000,700.59,3821580000,20787.65625,1714.108153,ETH
2017-12-15,7038718838,904346,67090900000,696.38,2758710000,20829.84375,1455.136989,ETH
2017-12-16,5698556827,899857,66124200000,686.19,2165690000,20382.375,1468.251251,ETH
2017-12-17,5619825553,876574,67106400000,696.24,2147390000,20346.9375,1172.634386,ETH
2017-12-18,6265539681,984021,69578400000,721.73,3249230000,20561.71875,1161.928902,ETH
2017-12-19,8953367689,1092234,76552200000,793.9,4096550000,20631.375,1487.482223,ETH
2017-12-20,10787319533,986104,79810600000,827.52,3969940000,20631.375,1731.489837,ETH
2017-12-21,10869093025,1072665,79125300000,820.24,3569060000,20414.8125,1760.206791,ETH
2017-12-22,11834908291,1103523,79374400000,822.64,4977710000,20571.28125,1640.148074,ETH
2017-12-23,6485777934,918881,65752100000,681.32,2480340000,20835.28125,1207.05967,ETH
2017-12-24,5365151225,758234,69671200000,721.77,2300550000,20504.15625,1024.10605,ETH
2017-12-25,4380048429,752361,67475100000,698.87,2491760000,20446.875,756.7676749,ETH
2017-12-26,6763153532,813510,73717800000,763.37,2201160000,20383.6875,743.0628659,ETH
2017-12-27,7865086383,912752,74854100000,774.97,2100030000,20533.125,826.1818048,ETH
2017-12-28,9632919662,949503,73637100000,762.21,2389150000,20434.125,832.9628957,ETH
2017-12-29,10883827032,1090191,71544300000,740.39,2648970000,20461.21875,1007.437081,ETH
2017-12-30,12309976248,1136659,72856900000,753.82,3187780000,20547.46875,972.7447595,ETH
2017-12-31,6448929794,946981,68850800000,712.21,2554270000,20454.75,871.2215219,ETH
2018-01-01,6237383004,908945,73075800000,755.76,2595760000,20623.96875,768.4409065,ETH
2018-01-02,10807957387,1153936,74695700000,772.35,5783350000,20561.0625,1053.030166,ETH
2018-01-03,12393184008,1238030,85703500000,886,5093160000,20599.21875,1240.294973,ETH
2018-01-04,19471098885,1349890,93049400000,961.71,6502860000,20963.25,1483.652749,ETH
2018-01-05,18083099228,1271577,94423900000,975.75,6683150000,20917.5,3180.85648,ETH
2018-01-06,15341970466,1226417,96326500000,995.15,4662220000,20948.90625,3641.860338,ETH
2018-01-07,12825937015,1152722,1.01E+11,1043.01,5569880000,21180.1875,2910.38204,ETH
2018-01-08,17551600313,1215473,1.12E+11,1158.26,8450970000,20603.4375,2944.30486,ETH
2018-01-09,18481672680,1256240,1.11E+11,1146,7965460000,20735.8125,3091.626897,ETH
2018-01-10,22594117878,1177685,1.26E+11,1300.34,9214950000,21081.9375,3696.646402,ETH
2018-01-11,20036882281,1173965,1.23E+11,1268.09,7235900000,21031.40625,3132.478755,ETH
2018-01-12,14500776314,1118757,1.12E+11,1158.29,5222300000,20917.125,2324.709276,ETH
2018-01-13,12163842612,1179321,1.23E+11,1270.47,5746760000,20679.09375,2411.655583,ETH
2018-01-14,34772491599,1081593,1.36E+11,1397.48,4841630000,21025.875,2236.838276,ETH
2018-01-15,16006341545,1206420,1.32E+11,1365.21,4781100000,20413.875,2227.026798,ETH
2018-01-16,19751150384,1277936,1.25E+11,1292.63,8405140000,20887.59375,2229.81191,ETH
2018-01-17,16995470507,1277083,1.03E+11,1061.34,8545160000,20843.25,2069.225744,ETH
2018-01-18,14016567260,1205184,98642100000,1016.44,5938320000,20549.0625,2153.066739,ETH
2018-01-19,9405274223,1043257,99863900000,1028.82,4084450000,20638.6875,1866.326524,ETH
2018-01-20,8161104134,984489,1.01E+11,1044.95,3975190000,20760.9375,1776.83102,ETH
2018-01-21,8620990345,1006530,1.12E+11,1155.68,3378090000,20274.65625,1323.960385,ETH
2018-01-22,9436835033,972911,1.03E+11,1055.35,3810100000,20564.625,1196.762657,ETH
2018-01-23,8648758338,928494,97554300000,1004.17,3556700000,20488.3125,1439.10428,ETH
2018-01-24,8507204809,913668,95952700000,987.48,3944040000,20575.40625,1292.593055,ETH
2018-01-25,4363645979,788515,1.03E+11,1063.22,4050190000,20337.5625,1058.460298,ETH
2018-01-26,10486316063,953429,1.02E+11,1052.7,3617690000,20401.03125,958.7589109,ETH
2018-01-27,6785462058,831992,1.03E+11,1055.75,3002870000,20423.0625,816.4639799,ETH
2018-01-28,8142963937,889104,1.08E+11,1111.78,5372330000,20563.3125,887.8234055,ETH
2018-01-29,9938016883,936845,1.21E+11,1246.7,3715080000,20556.75,1275.091189,ETH
2018-01-30,10066164616,906578,1.15E+11,1184.13,4107860000,20304.9375,1062.581045,ETH
2018-01-31,8807713606,877284,1.04E+11,1071.09,3757560000,20533.875,1068.648285,ETH
2018-02-01,9281152796,1008759,1.09E+11,1119.37,5261680000,20546.625,1550.754475,ETH
2018-02-02,11525863620,981133,1.01E+11,1035.77,6713290000,20638.96875,1202.446582,ETH
2018-02-03,5731240776,814486,89507600000,919.21,3243480000,20321.71875,887.3781805,ETH
2018-02-04,4901708977,800876,93953400000,964.67,2997090000,20315.4375,844.7711172,ETH
2018-02-05,6017923284,875761,81337400000,834.96,4269530000,20633.8125,873.2099938,ETH
2018-02-06,6306822928,888219,68958700000,707.74,6518270000,20381.625,925.6717158,ETH
2018-02-07,5559680836,818625,77032000000,790.43,3896180000,20433.75,850.5918108,ETH
2018-02-08,2760098148,681344,73676900000,755.84,3708190000,20382.09375,654.7476574,ETH
2018-02-09,4217831833,789807,79799300000,818.48,2495820000,20271.75,702.0943083,ETH
2018-02-10,5103971205,848390,86055600000,882.47,2930530000,20690.34375,761.9957778,ETH
2018-02-11,3435390406,773496,83813000000,859.29,2486650000,20119.40625,646.1928564,ETH
2018-02-12,3809068384,829020,79754400000,817.51,2243450000,20490.84375,642.8145243,ETH
2018-02-13,5603860693,745822,84824200000,869.29,2081170000,20444.4375,631.4701095,ETH
2018-02-14,4132727550,746384,82400600000,844.28,2818370000,20052.5625,642.0372003,ETH
2018-02-15,5083084029,777318,90173300000,923.73,2900100000,20603.53125,634.5970788,ETH
2018-02-16,4069546922,704758,91272100000,934.79,2369450000,20377.125,601.5821349,ETH
2018-02-17,3960978389,772079,92264000000,944.75,2525720000,20548.5,678.7687933,ETH
2018-02-18,4050398619,756092,95077100000,973.35,2567290000,20346.09375,766.1450479,ETH
2018-02-19,3515123304,811384,90047700000,921.67,2169020000,20427.375,656.1792604,ETH
2018-02-20,4203523591,886897,92206500000,943.57,2545260000,20407.3125,745.4169636,ETH
2018-02-21,3894221425,850504,87394200000,894.13,2531730000,20670.5625,741.308288,ETH
2018-02-22,4813951401,761893,83025800000,849.26,2150370000,20403.09375,614.7200116,ETH
2018-02-23,2561777240,733084,79358900000,811.59,2334820000,20661,626.4113855,ETH
2018-02-24,2506233624,732861,84266700000,861.59,1926580000,20482.125,626.7903093,ETH
2018-02-25,1579475870,690582,82119100000,839.46,1646960000,20219.15625,548.9540743,ETH
2018-02-26,2084869097,737453,82705400000,845.28,2044480000,20335.3125,546.3120018,ETH
2018-02-27,1350335476,694583,85177800000,870.37,2053980000,20412.75,564.3951211,ETH
2018-02-28,1378874636,720368,85936400000,877.93,1963980000,20569.125,749.0887785,ETH
