date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,1124744513,40679,4758600000,88,561343000,12900,68.48558077,LTC
2017-12-02,1122786913,38855,5351330000,98.94,402554000,12275,64.95625292,LTC
2017-12-03,1129998268,39697,5420380000,100.19,364022000,14025,64.294623,LTC
2017-12-04,1403544351,45698,5486740000,101.4,331151000,16700,98.7547843,LTC
2017-12-05,1685633378,53733,5644390000,104.28,328726000,17825,143.3921609,LTC
2017-12-06,1434370704,68780,5548860000,102.48,547512000,19075,145.8031427,LTC
2017-12-07,1248825160,64009,5415710000,99.98,645691000,19425,97.42084821,LTC
2017-12-08,1969481144,70853,5327910000,98.33,1515560000,22825,130.623676,LTC
2017-12-09,2667594580,79163,6910360000,127.48,2436540000,16975,112.3071021,LTC
2017-12-10,1421912207,53943,8438840000,155.63,1087340000,18675,89.4021302,LTC
2017-12-11,2174240812,79265,8042020000,148.26,2913980000,17925,122.9911785,LTC
2017-12-12,7638160590,156717,11528600000,212.46,6961680000,14250,360.900449,LTC
2017-12-13,7687014672,136446,17116500000,315.36,3409790000,15525,482.9175264,LTC
2017-12-14,3748563097,143609,16352400000,301.2,2114880000,15750,321.9625766,LTC
2017-12-15,4179439512,116514,15258500000,280.97,2599940000,15300,128.0333299,LTC
2017-12-16,2582663925,108366,16260700000,299.34,1291380000,17075,115.7910757,LTC
2017-12-17,2898540083,107871,16398800000,301.78,1703580000,15150,126.3619212,LTC
2017-12-18,2792750736,110604,17336500000,318.95,1966600000,15100,200.262691,LTC
2017-12-19,5938053298,138052,19525500000,359.13,2150480000,13425,143.0726058,LTC
2017-12-20,5435595188,143881,19012500000,349.6,2104060000,14075,673.7298404,LTC
2017-12-21,11756695462,162372,17116600000,314.66,1555940000,14100,752.6136196,LTC
2017-12-22,4639956648,149956,17371200000,319.26,2938040000,14925,534.8413266,LTC
2017-12-23,2583424365,117738,14655200000,269.27,1352580000,15100,335.6083963,LTC
2017-12-24,1642982738,81111,15842900000,291.01,1122910000,15375,202.998965,LTC
2017-12-25,1358163087,77925,15111400000,277.49,804377000,14100,172.9878204,LTC
2017-12-26,1206437969,82613,14876400000,273.11,842993000,15525,183.8221926,LTC
2017-12-27,1799705552,112765,15615200000,286.59,777138000,14900,267.5139468,LTC
2017-12-28,3283120851,111207,14831200000,272.13,2593240000,14825,321.6631363,LTC
