date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,56337807.24,19949,2137790000,32.89,89359700,null,0.115,NEO
2017-12-02,47102935.04,18260,2329690000,35.84,48991700,null,0.021,NEO
2017-12-03,54564178.02,23014,2281180000,35.09,79801700,null,0.167,NEO
2017-12-04,60673158.75,26250,2382160000,36.65,160430000,null,0.138,NEO
2017-12-05,43229418.83,19867,2729160000,41.99,101480000,null,0.128,NEO
2017-12-06,130482836.3,24388,2518460000,38.75,118745000,null,0.183,NEO
2017-12-07,59240340.96,29389,2277340000,35.04,125301000,null,0.18,NEO
2017-12-08,47010030.08,20269,2264560000,34.84,125450000,null,0.401,NEO
2017-12-09,38354936,20205,2337250000,35.96,93255300,null,0.143,NEO
2017-12-10,54088389.09,17349,2326550000,35.79,72133600,null,0.173,NEO
2017-12-11,28363083.56,20471,2165750000,33.32,77323800,null,0.05,NEO
2017-12-12,37966818.16,24809,2354370000,36.22,132796000,null,0.05,NEO
2017-12-13,96657747.82,33882,2647620000,40.73,294500000,null,0.483,NEO
2017-12-14,71868421.7,33393,2918700000,44.9,313147000,null,0.348,NEO
2017-12-15,104047051.8,31191,3285020000,50.54,204065000,null,0.197,NEO
2017-12-16,46368014.74,27325,3129270000,48.14,164723000,null,0.36,NEO
2017-12-17,154573516.2,67848,3233120000,49.74,500799000,null,0.45312137,NEO
2017-12-18,133581064.9,46524,4449540000,68.45,437849000,null,0.132,NEO
2017-12-19,121924847,39652,5017420000,77.19,290083000,null,0,NEO
2017-12-20,101222120.5,34708,4634920000,71.31,305912000,null,0,NEO
2017-12-21,126210537.6,39947,4948010000,76.12,225272000,null,0,NEO
2017-12-22,127061764.8,39138,4650220000,71.54,297579000,null,0.004,NEO
2017-12-23,70836930.56,30240,3660710000,56.32,146282000,null,0,NEO
2017-12-24,80434064.2,20447,3855900000,59.32,160158000,null,0,NEO
2017-12-25,48490891.47,21650,3917400000,60.27,170538000,null,0,NEO
2017-12-26,211985525.7,27019,4329390000,66.61,195466000,null,0,NEO
2017-12-27,128187623.5,34751,4259210000,65.53,153715000,null,0,NEO
2017-12-28,107520918.8,28646,4339530000,66.76,135592000,null,0,NEO
2017-12-29,188745456.6,32909,4270520000,65.7,163331000,null,0,NEO
2017-12-30,109680322.6,29185,4821840000,74.18,202377000,null,0,NEO
2017-12-31,137851592.2,26952,4716090000,72.56,181357000,null,0,NEO
2018-01-01,111824520.1,26476,4952450000,76.19,142094000,null,0,NEO
2018-01-02,199208857.2,37605,5104180000,78.53,373377000,null,0,NEO
2018-01-03,349761789.3,36631,5869250000,90.3,288086000,null,0,NEO
