date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,153050.9033,8839,1282140000,0.072181,102074000,0,0.17366,XLM
2017-12-02,97034.49109,10320,1601920000,0.090184,82791100,0,0.20319,XLM
2017-12-03,99538.83699,10511,1661390000,0.093531,55809800,0,0.20792,XLM
2017-12-04,332502.7006,11403,1589540000,0.089486,37476600,0,0.22567,XLM
2017-12-05,105562.809,12316,1727270000,0.09724,152741000,0,0.23949,XLM
2017-12-06,327711.0681,12269,2164040000,0.121563,384659000,0,0.23529,XLM
2017-12-07,421760.0242,10020,2734310000,0.153297,312353000,0,0.1936,XLM
2017-12-08,330586.8635,10000,2459440000,0.137887,188452000,0,0.19433,XLM
2017-12-09,116481.7744,7734,2503310000,0.140346,102117000,0,0.14539,XLM
2017-12-10,220286.0556,13505,2462460000,0.138053,91047600,0,0.26097,XLM
2017-12-11,394788.5,16261,2109300000,0.118252,117548000,0,0.28912,XLM
2017-12-12,784971.243,20672,2555100000,0.143231,135847000,0,0.3302,XLM
2017-12-13,824116.546,20987,2765100000,0.154966,107122000,0,0.34585,XLM
2017-12-14,441095.4449,16796,2656890000,0.148829,281635000,0,0.32389,XLM
2017-12-15,534318.7118,16985,3544830000,0.198565,260229000,0,0.32826,XLM
2017-12-16,605588.388,16735,3500490000,0.196077,234173000,0,0.32622,XLM
2017-12-17,950565.2643,13515,4189510000,0.234672,423361000,0,0.25884,XLM
2017-12-18,461645.362,1649,4876760000,0.273167,201721000,0,0.02376,XLM
2017-12-19,863484.0273,1438,4927630000,0.276017,212549000,0,0.01618,XLM
2017-12-20,600675.6221,1066,4729210000,0.264813,250599000,0,0.01242,XLM
2017-12-21,353018.0622,1341,4516350000,0.252894,199122000,0,0.01551,XLM
2017-12-22,949389.8563,1021,4616600000,0.258506,229459000,0,0.01118,XLM
2017-12-23,290528.6433,626,3943440000,0.220812,116122000,0,0.0074,XLM
2017-12-24,220457.9527,523,4228850000,0.236793,71071600,0,0.00604,XLM
2017-12-25,216256.4172,447,4045700000,0.226538,71737300,0,0.00531,XLM
2017-12-26,245636.3574,581,4083400000,0.228649,96759300,0,0.00668,XLM
2017-12-27,2963783.097,461,4040790000,0.226261,78509400,0,0.00533,XLM
2017-12-28,244206.8188,458,4068660000,0.227821,75925400,0,0.00529,XLM
2017-12-29,1018914.353,917,3996450000,0.223778,387880000,0,0.01064,XLM
2017-12-30,1167873.309,1291,5651880000,0.316473,537916000,0,0.01519,XLM
2017-12-31,569667.6612,780,5676400000,0.317846,183768000,0,0.00945,XLM
2018-01-01,1008193.979,1430,6436760000,0.360422,669372000,0,0.01696,XLM
2018-01-02,1321223.329,2207,8873700000,0.496876,676667000,0,0.02671,XLM
2018-01-03,2763602.135,5228,10059800000,0.56272,1513270000,0,0.06186,XLM
2018-01-04,6331714.221,6476,15953600000,0.892399,892268000,0,0.08137,XLM
2018-01-05,2065500.161,5614,13219400000,0.739457,727409000,0,0.06608,XLM
2018-01-06,1292793.632,2608,11854000000,0.66306,440182000,0,0.03604,XLM
2018-01-07,1779731.793,2608,12688400000,0.70973,347557000,0,0.0359,XLM
2018-01-08,1708914.303,2515,12442100000,0.695952,249426000,0,0.03508,XLM
2018-01-09,1396110.153,2378,11229100000,0.628026,208330000,0,0.03485,XLM
