date,txVolume(USD),txCount,marketcap(USD),price,exchangeVolume(USD),generatedCoins,fees,symbol
2017-12-01,0,5916,2771380000,179.72,70430500,4186.842488,127.558529,XMR
2017-12-02,0,5201,2943520000,190.83,80791100,4301.339447,107.531589,XMR
2017-12-03,0,6970,3137680000,203.37,111303000,4237.200067,162.705831,XMR
2017-12-04,0,5983,3079850000,199.56,74534400,4054.608001,127.83601,XMR
2017-12-05,0,8674,3258360000,211.13,352326000,4024.757516,186.053444,XMR
2017-12-06,0,10833,4140770000,268.16,543884000,4544.784837,218.739044,XMR
2017-12-07,0,8662,4291850000,277.87,299528000,4499.332094,166.313306,XMR
2017-12-08,0,6140,4346000000,281.31,201497000,3677.680833,114.523704,XMR
2017-12-09,0,5027,4283550000,277.27,161152000,4283.26719,93.722805,XMR
2017-12-10,0,4854,4061590000,262.9,142120000,4151.323124,101.708074,XMR
2017-12-11,0,6023,3784310000,244.95,152497000,3975.583861,118.002477,XMR
2017-12-12,0,7468,4348820000,281.49,271786000,4180.196308,140.110735,XMR
2017-12-13,0,8230,4749580000,307.43,248583000,3889.483207,171.213084,XMR
2017-12-14,0,7562,4692810000,303.26,261053000,4082.919236,154.309609,XMR
2017-12-15,0,7106,5039870000,325.61,163054000,4468.591866,139.692764,XMR
2017-12-16,0,6314,4839760000,312.61,164861000,4174.104187,116.681857,XMR
2017-12-17,0,7311,5078920000,328.06,278705000,4116.77086,148.135061,XMR
2017-12-18,0,7245,5469410000,353.07,217306000,4020.950969,141.889933,XMR
2017-12-19,0,8498,5904690000,381.07,317292000,4054.01284,170.463322,XMR
2017-12-20,0,10689,5823300000,375.71,498648000,4127.386009,278.412571,XMR
2017-12-21,0,9425,7291030000,470.29,354021000,3823.791397,429.294278,XMR
2017-12-22,0,6469,6504920000,419.53,334617000,4222.854212,253.585407,XMR
2017-12-23,0,5475,5423160000,349.76,190117000,4145.037466,186.878115,XMR
2017-12-24,0,4473,6062810000,391.01,134675000,3926.658981,155.04947,XMR
2017-12-25,0,4403,5271820000,339.69,119632000,3994.416598,127.555193,XMR
2017-12-26,0,5969,5605310000,361.08,161342000,4072.021875,170.907055,XMR
2017-12-27,0,7805,5920710000,381.3,250742000,4104.721188,227.194483,XMR
2017-12-28,0,6330,6561210000,422.51,162717000,4055.061815,190.240153,XMR
2017-12-29,0,6827,5921340000,381.3,173825000,4176.554096,201.748925,XMR
2017-12-30,0,5954,5882180000,378.52,140463000,3766.492381,152.117636,XMR
2017-12-31,0,5306,5113910000,329,101667000,4093.599412,142.465815,XMR
2018-01-01,0,4884,5434340000,349.55,110244000,3862.03804,129.0645042,XMR
2018-01-02,0,6724,5582210000,359.06,224769000,4270.222574,190.6774141,XMR
2018-01-03,0,7451,5953920000,382.74,180190000,3834.346393,174.9455458,XMR
2018-01-04,0,7070,6448110000,414.41,166108000,3867.655238,181.4959285,XMR
2018-01-05,0,6678,6262550000,402.38,182618000,4141.856304,176.2036328,XMR
2018-01-06,0,7278,5999260000,385.37,235391000,3866.639276,224.5013584,XMR
2018-01-07,0,7560,7103000000,456.15,262443000,3966.429674,220.2532907,XMR
2018-01-08,0,6735,7139010000,458.35,220924000,3582.421183,196.6170385,XMR
2018-01-09,0,8204,6289410000,403.71,522438000,4218.48851,241.7069726,XMR
2018-01-10,0,6521,6439820000,413.25,265152000,3978.018129,192.7594413,XMR
2018-01-11,0,5432,6329790000,406.08,187722000,3988.754573,174.8450358,XMR
2018-01-12,0,4627,5591320000,358.62,158189000,3880.2313,129.0658628,XMR
2018-01-13,0,5879,6129540000,393.04,248705000,4014.611603,169.4368403,XMR
2018-01-14,0,4740,6556930000,420.34,180678000,3912.967099,115.9658286,XMR
2018-01-15,0,5851,6179110000,396.02,264782000,3967.030231,136.3971944,XMR
2018-01-16,0,5921,6491450000,415.93,283036000,3863.872491,222.7429593,XMR
2018-01-17,0,5247,4978850000,318.93,192937000,3587.746671,165.1945425,XMR
2018-01-18,0,5368,5005990000,320.6,152851000,4048.105674,139.8558706,XMR
2018-01-19,0,5316,4906340000,314.13,199852000,4117.175036,143.308422,XMR
2018-01-20,0,5255,5743450000,367.63,240595000,3315.421608,140.9078668,XMR
2018-01-21,0,5244,6008720000,384.53,126395000,4176.154399,138.4494156,XMR
2018-01-22,0,4991,5453550000,348.91,116893000,3762.857925,146.6101918,XMR
2018-01-23,0,4920,4929480000,315.31,116898000,3910.79918,185.3261422,XMR
2018-01-24,0,5224,4830950000,308.93,92263600,3969.445508,165.9676923,XMR
